lag,exact_E[A2(X0)A4(Xk)],mc_E[A2(X0)A4(Xk)],exact_E[A4(X0)A2(Xk)],mc_E[A4(X0)A2(Xk)]
0,-3.869992441421012640e-03,-3.875443813365668771e-03,-3.869992441421012640e-03,-3.875443813365668771e-03
1,-2.418745275888132900e-04,-2.438239718190380299e-04,-9.674981103552531599e-04,-9.787718579253297611e-04
2,-1.511715797430083062e-05,-1.717472680319568663e-06,-2.418745275888132900e-04,-2.327646023081592357e-04
3,-9.448223733938019140e-07,1.557605475259959431e-05,-6.046863189720332250e-05,-4.465136029337646951e-05
4,-5.905139833711261962e-08,5.511321435551971566e-06,-1.511715797430083062e-05,-1.533644702876150819e-05
5,-3.690712396069538727e-09,9.635448205610955077e-06,-3.779289493575207656e-06,-5.764656013040904539e-06
6,-2.306695247543461704e-10,-5.471603418041527230e-06,-9.448223733938019140e-07,3.541591668319432489e-07
7,-1.441684529714663565e-11,8.731809726018386445e-06,-2.362055933484504785e-07,8.421672387249110777e-06
8,-9.010528310716647282e-13,7.222955104098287064e-07,-5.905139833711261962e-08,1.132166972276843721e-05
